name, rank
Khal Drogo, 0.0031087
Tyrion Lannister, 0.0029409
Robert Baratheon, 0.00291355
Eddard Stark, 0.00273095
Joffrey Baratheon, 0.00271871
Arya Stark, 0.00266822
Robb Stark, 0.00266676
Jon Snow, 0.0026627
Sansa Stark, 0.00264374
Aerys II Targaryen, 0.00253542
Bran Stark, 0.00239306
Jaime Lannister, 0.00234991
Samwell Tarly, 0.00158064
Jorah Mormont, 0.00148921
Sandor Clegane, 0.00146811
Benjen Stark, 0.00142622
Mago, 0.00139576
Daenerys Targaryen, 0.00129817
Catelyn Stark, 0.00116965
Barristan Selmy, 0.00110265
Rhaego, 0.00108318
Jon Arryn, 0.001033
Bharbo, 0.00101415
Hot Pie, 0.000992668
Gregor Clegane, 0.000920049
Tywin Lannister, 0.000915662
Mord, 0.000908511
Maester Aemon, 0.000906846
Alliser Thorne, 0.000876602
Ilyn Payne, 0.000871417
Viserys Targaryen, 0.000857946
Ros, 0.000828141
Hodor, 0.000813111
Rhaegar Targaryen, 0.000809206
Varys, 0.000805051
Pypar, 0.000802169
Kevan Lannister, 0.000796652
Dunk, 0.000796652
Jafer Flowers, 0.000796652
Gendry, 0.000796652
Dolf, 0.000795816
Hugh, 0.000793827
Nymeria, 0.000793433
Theon Greyjoy, 0.000793157
Cersei Lannister, 0.000792798
Rakharo, 0.000788263
Luwin, 0.000781283
Illyrio Mopatis, 0.000719974
Mycah, 0.00071223
Bronn, 0.000693464
Shagga, 0.000693464
Petyr Baelish, 0.000682365
Jory Cassel, 0.000676878
Hallis Mollen, 0.000632635
Garlan Tyrell, 0.000626947
Aegon I Targaryen, 0.000614244
Shae, 0.000612487
Mance Rayder, 0.000604974
Pycelle, 0.000601093
Wilbert Osgrey, 0.000589972
Robin, 0.00058101
Bedwyck, 0.000578421
Jon Umber (Greatjon), 0.000578421
Galbart Glover, 0.000578421
Dareon, 0.000576565
Thoros of Myr, 0.000571423
Simon Toyne, 0.000571423
Walder Frey, 0.000569007
Heward, 0.000563379
Tysha, 0.000562189
Yoren, 0.000562189
Brandon Stark, 0.000561677
Borcas, 0.0005593
Bowen Marsh, 0.0005593
Mordane, 0.000549822
Balon Greyjoy, 0.000548062
Timett, 0.000544024
Gyles, 0.000539791
Jeyne Poole, 0.000539791
Maegor I Targaryen, 0.000539791
Vardis Egen, 0.000534225
Grenn, 0.000532669
Becca, 0.000532349
Lancel Lannister, 0.000532349
Irri, 0.000525411
Mirri Maz Duur, 0.000525411
Janos Slynt, 0.000521213
Loras Tyrell, 0.000519264
Stannis Baratheon, 0.000515817
Renly Baratheon, 0.000513606
Chella, 0.000506321
Cheyk, 0.000506321
Turnip, 0.000501276
