name, rank
Tyrion Lannister, 0.00195725
Khal Drogo, 0.00192407
Robert Baratheon, 0.00187812
Arya Stark, 0.00179677
Joffrey Baratheon, 0.00175461
Jon Snow, 0.00174491
Robb Stark, 0.00172461
Eddard Stark, 0.00164854
Jaime Lannister, 0.00155224
Sansa Stark, 0.00153146
Bran Stark, 0.00151092
Aerys II Targaryen, 0.00150197
Samwell Tarly, 0.00108218
Benjen Stark, 0.00104383
Jorah Mormont, 0.000994547
Daenerys Targaryen, 0.000985976
Sandor Clegane, 0.000980461
Mago, 0.000895203
Barristan Selmy, 0.000875683
Catelyn Stark, 0.00085219
Hot Pie, 0.000818532
Rhaego, 0.000787925
Jon Arryn, 0.000766263
Tywin Lannister, 0.000761425
Bharbo, 0.000740568
Gregor Clegane, 0.000723784
Kevan Lannister, 0.000719515
Gendry, 0.000719515
Jafer Flowers, 0.000719515
Dunk, 0.000719515
Mord, 0.000705562
Maester Aemon, 0.000700164
Viserys Targaryen, 0.000695167
Rakharo, 0.000685352
Alliser Thorne, 0.000679813
Dolf, 0.000672063
Ilyn Payne, 0.000668198
Rhaegar Targaryen, 0.000666444
Theon Greyjoy, 0.000657393
Hugh, 0.000657148
Pypar, 0.000656415
Ros, 0.00065466
Cersei Lannister, 0.000654131
Varys, 0.000647923
Hodor, 0.000644238
Nymeria, 0.000635903
Luwin, 0.000623077
Illyrio Mopatis, 0.000615514
Hallis Mollen, 0.000599595
Mycah, 0.000596846
Bronn, 0.000591029
Shagga, 0.000591029
Petyr Baelish, 0.000585995
Jory Cassel, 0.000578765
Shae, 0.000561017
Garlan Tyrell, 0.000557195
Mance Rayder, 0.000555205
Wilbert Osgrey, 0.000553552
Robin, 0.000549883
Aegon I Targaryen, 0.000544636
Dareon, 0.000542307
Pycelle, 0.00054169
Walder Frey, 0.000540311
Heward, 0.00053755
Galbart Glover, 0.000530394
Jon Umber (Greatjon), 0.000530394
Bedwyck, 0.000530394
Bowen Marsh, 0.000529684
Borcas, 0.000529684
Simon Toyne, 0.000528179
Thoros of Myr, 0.000528179
Vardis Egen, 0.000527644
Timett, 0.000524464
Tysha, 0.000524155
Yoren, 0.000524155
Brandon Stark, 0.000521641
Balon Greyjoy, 0.00052125
Mordane, 0.000518733
Grenn, 0.000514539
Janos Slynt, 0.00051353
Loras Tyrell, 0.000511783
Mirri Maz Duur, 0.000510486
Irri, 0.000510486
Renly Baratheon, 0.000509141
Gyles, 0.000509121
Jeyne Poole, 0.000509121
Maegor I Targaryen, 0.000509121
Lancel Lannister, 0.000509018
Becca, 0.000509018
Cheyk, 0.00050207
Chella, 0.00050207
Stannis Baratheon, 0.000500025
